Homo sapiens:Human:58:12
Viverra mephitis:striped_skunk:76:2
Viverra putorius:eastern_spotted_skunk:51:8
Viverra zibetha:large_Indian_civet:56:1
Viverra genetta:common_genet:55:12
Mustela lutris:sea_otter:58:15
Mustela lutra:European_otter:42:21
Mustela gulo:wolverine:97:19
Mustela barbara:tayra:44:15
Mustela martes:European_pine_marten:77:23
Mustela putorius:European_polecat:82:22
Mustela furo:ferret:90:6
Mustela zibellina:sable:73:11
Mustela erminea:stoat:15:14
Ursus arctos:brown_bear:17:7
Ursus luscus:wolverine:28:19
Ursus meles:European_badger:77:4
Ursus lotor:northern_raccoon:82:5
Sus scrofa:domesticated_pig:93:3
Sus porcus:red_river_hog:10:2
Sus tajacu:collared_peccary:70:4
Sus babyrusa:Buru_babirusa:62:11
Dasypus unicinctus:southern_naked-tailed_armadillo:61:16
Dasypus tricinctus:Brazilian_three-banded_armadillo:82:10
Dasypus sexcinctus:six-banded_armadillo:47:18
Dasypus septemcinctus:seven-banded_armadillo:71:22
Dasypus novemcinctus:nine-banded_armadillo:69:20
Erinaceus europaeus:European_hedgehog:93:22
Talpa europaea:European_mole:30:25
Talpa asiatica:Cape_golden_mole:57:22
Sorex araneus:Common_Shrew:24:9
Sorex cristatus:Star-nosed_mole:97:16
Sorex aquaticus:Eastern_Mole:9:12
Didelphis marsupialis:common_opossum:32:11
Didelphis philander:bare-tailed_woolly_opossum:56:14
Didelphis opossum:grey_four-eyed_opossum:67:24
Didelphis murina:Linnaeuss_mouse_opossum:70:7
Rhinoceros unicornis:Indian_rhinoceros:78:8
Rhinoceros bicornis:Black_rhinoceros:84:17
Hystrix cristata:crested_porcupine:96:3
Hystrix prehensilis:Brazilian_porcupine:90:15
Hystrix dorsata:North_American_porcupine:71:5
Hystrix macroura:Asiatic_brush-tailed_porcupine:17:13
Hystrix brachyura:Malayan_porcupine:89:11
Lepus timidus:mountain_hare:21:7
Lepus cuniculus:European_rabbit:97:22
Lepus capensis:Cape_hare:48:9
Lepus brasiliensis:Brazilian_rabbit:13:20
Castor fiber:European_beaver:60:11
Castor moschatus:Russian_desman:60:6
Mus porcellus:domestic_guinea_pig:24:20
Mus leporinus:red-rumped_agouti:17:24
Mus lemmus:Norway_lemming:27:23
Mus marmota:Alpine_marmot:28:21
Mus monax:groundhog:9:21
Mus cricetus:European_hamster:63:7
Mus amphibius:European_water_vole:97:15
Mus rattus:black_rat:28:5
Mus musculus:house_mouse:98:8
Mus avellanarius:hazel_dormouse:20:25
Mus sylvaticus:wood_mouse:2:22
Mus striatus:typical_striped_grass_mouse:6:12
Mus longipes:midday_jird:39:9
Mus jaculus:lesser_Egyptian_jerboa:6:20
Mus volans:southern_flying_squirrel:51:16
Sciurus vulgaris:red_squirrel:97:12
Sciurus niger:fox_squirrel:55:3
Sciurus cinereus:Delmarva_fox_squirrel:51:25
Sciurus flavus:nomen_dubium:24:25
Sciurus getulus:Barbary_ground_squirrel:74:16
Sciurus striatus:eastern_chipmunk:26:3
Sciurus volans:Siberian_flying_squirrel:55:13
Camelus dromedarius:dromedary_camel:70:3
Camelus bactrianus:domestic_Bactrian_camel:19:7
Camelus glama:domestic_llama:20:15
Camelus pacos:domestic_alpaca:96:3
Moschus moschiferus:Siberian_musk_deer:71:25
Cervus camelopardalis:giraffe:85:2
Cervus alces:elk:91:15
Cervus elaphus:red_deer:23:24
Cervus tarandus:reindeer:30:19
Cervus dama:fallow_deer:76:22
Cervus bezoarticus:pampas_deer:9:19
Cervus capreolus:roe_deer:39:19
Cervus guineensis:nomen_dubium:21:4
Capra hircus:domestic_goat:51:19
Capra ibex:Alpine_ibex:41:10
Capra rupicapra:chamois:12:9
Capra pygmea:royal_antelope:63:17
Capra gazella:gemsbok:39:9
Capra cervicapra:blackbuck:99:6
Capra dorcas:Dorcas_gazelle:40:17
Capra grimmia:common_duiker:71:9
Capra ammon:argali:84:1
Ovis aries:domestic_sheep:40:16
Bos taurus:domestic_cattle:90:11
Bos bonasus:wisent:17:22
Bos bison:American_bison:94:22
Bos bubalis:domestic_water_buffalo:33:16
Bos indicus:zebu:98:20
Equus caballus:domestic_horse:54:9
Equus asinus:donkey:22:19
Equus zebra:mountain_zebra:14:7
Hippopotamus amphibius:hippopotamus:6:2
Hippopotamus terrestris:South_American_tapir:51:16
Monodon monoceros:narwhal:89:13
Balaena mysticetus:bowhead_whale:21:21
Balaena physalus:fin_whale:42:6
Balaena musculus:Blue_Whale:48:13
Physeter catodon:sperm_whale:41:16
Delphinus phocaena:harbour_porpoise:7:1
Delphinus delphis:short-beaked_common_dolphin:41:8
Delphinus orca:orca:69:15
